ID,FirstName,LastName,PhoneNum
1,Gal,Levi,054-5108603
2,Eli,Shapira,051-2458591
3,Dana,Mizrachi,050-2571945
4,Dor,Weiss,058-1445199
5,Naomi,Klein,058-8038374
6,Eli,Engel,059-5667265
7,Yosef,Ashkenazi,052-8090293
8,Sarah,Lieberman,052-4612365
9,Sarah,Avraham,051-7374122
10,Eitan,Fischer,055-5437923
11,Yitzhak,Yosef,057-9996414
12,Ido,Rosen,051-5918715
13,Rachel,Miller,053-2166941
14,Yitzhak,Teller,053-5855124
15,Oren,Weiss,051-7377459
16,Ohad,Frank,055-3728882
17,Leah,Fischer,053-5479144
18,Noam,Oren,052-9961380
19,Itai,Katz,057-7366205
20,Nadav,Rabinowitz,058-4684531
21,Zohar,Ben-David,050-4842788
22,Yaakov,Gross,056-5491946
23,Eliyahu,Schwartz,059-6279418
24,Dor,Silver,057-7637601
25,Inbar,Goldstein,054-3342608
26,Itai,Zamir,058-5408072
27,Ruth,Diamond,059-7700828
28,Rachel,Weiss,052-9548432
29,Efrat,Dahan,050-2839607
30,Ran,Rabinowitz,052-8082668
31,Eliyahu,Rosen,056-8852574
32,Julia,Horowitz,058-1192619
33,Gal,Ullman,058-5476583
34,Sarah,Friedman,054-8294150
35,Tal,Frank,050-5418934
36,Galit,Ashkenazi,052-9517485
37,Ari,Rabinowitz,054-9517169
38,Ben,Goldstein,055-3710343
39,Liat,Ben-David,058-1009594
40,Zohar,Hershko,050-2876828
41,Rachel,Blum,053-1971823
42,Hai,Miller,051-2437026
43,Devora,Biton,058-3109911
44,Lior,Teller,057-3770370
45,Matan,Jacobson,059-8099076
46,Dor,Kaplan,053-6229731
47,Maya,Teller,055-8350099
48,Ilana,Engel,051-5159166
49,Eli,Biton,055-1352896
50,Merav,Weiss,059-4694634
51,Yosef,Biton,050-4841005
52,Eliyahu,Mizrachi,055-2188789
53,Hadasa,Berkowitz,054-9143903
54,Dor,Kaplan,052-8930103
55,Itai,Green,056-4194548
56,Eitan,Avraham,056-6944126
57,Dana,Baum,057-1908841
58,Eitan,Peretz,056-6692553
59,Ari,Berkowitz,053-4191175
60,Kayla,Engel,052-8077999
61,Ziv,Lieberman,057-5191056
62,Noam,Engel,058-2642635
63,Shmuel,Silver,058-1247595
64,Amit,Ashkenazi,053-3790237
65,Yael,Hershko,057-4586084
66,Maya,Peretz,052-7358113
67,Yosef,Rosen,054-8633773
68,Paz,Diamond,058-9164991
69,Ran,Klein,054-4652414
70,Daniel,Newman,058-2022698
71,Yaron,Peretz,050-8999183
72,Galit,Jacobson,052-1954280
73,Hadasa,Dahan,052-2149597
74,Eliyahu,Ullman,053-7774229
75,Ido,Miller,053-1666754
76,Oren,Baum,059-9770838
77,Yaron,Horowitz,053-6271130
78,Hai,Horowitz,056-3195773
79,Shahar,Frank,055-2217071
80,David,Frank,059-2677407
81,Noam,Kaplan,053-9487336
82,Matan,Shapira,055-2154126
83,Itai,Hoffman,054-3646552
84,Liora,Kaplan,054-9874152
85,David,Teller,058-6022741
86,Ari,Shapira,054-2936571
87,Ari,Zamir,058-3607983
88,Nadav,Stern,059-4533779
89,Sarah,Schwartz,054-9479356
90,Devora,Horowitz,050-2548511
91,Dana,Lieberman,050-1059486
92,Adam,Ben-David,052-5394880
93,Tal,Zamir,057-8175395
94,Naomi,Cohen,051-2262382
95,Ran,Kaplan,050-7194416
96,Ruth,Levin,052-8210624
97,Lior,Mizrachi,054-7117837
98,Yitzhak,Fischer,053-5186414
99,Ari,Fischer,058-7817881
100,Ran,Berkowitz,052-3970445
101,Yael,Levi,052-6573147
102,Yael,Teller,053-5476257
103,Tal,Vardi,051-7417985
104,Yaakov,Green,053-4348276
105,Inbar,Fischer,054-4818418
106,Eli,Levi,053-7685149
107,Adam,Lieberman,051-5682940
108,Miriam,Silver,058-7705490
109,Kayla,Feldman,050-2935113
110,Matan,Rosenberg,059-5453786
111,Yaakov,Avraham,059-8290770
112,Miriam,Yosef,055-8321474
113,Hadasa,Friedman,056-4188992
114,Kobi,Mizrachi,056-1028374
115,Ilana,Kaplan,053-7110622
116,Michal,Biton,055-6266630
117,Ido,Yosef,054-9508103
118,Tomer,Teller,056-6472441
119,Maya,Vardi,054-3135534
120,Alon,Baum,056-3919694
121,Orly,Blum,056-1006810
122,Shahar,Stern,053-8212326
123,Ruth,Oren,055-8801207
124,Liora,Engel,053-9576076
125,Batya,Zamir,052-2422633
126,Paz,Israel,059-6623525
127,Amit,Ashkenazi,053-6207974
128,Eli,Klein,052-1409790
129,Yitzhak,Berkowitz,057-2221854
130,Inbar,Baum,059-4262081
131,Noa,Hershko,056-5093379
132,Omer,Silver,050-2788238
133,Dana,Weiss,052-9689889
134,Ayala,Peretz,058-5180853
135,Ido,Frank,052-8795419
136,Julia,Levin,059-6323376
137,Liora,Pollak,058-8159521
138,Merav,Engel,052-8963715
139,Keren,Horowitz,053-5652512
140,Ilana,Hershko,053-5606980
141,Liora,Biton,054-4934149
142,Nadav,Feldman,055-2351868
143,Nir,Goldstein,053-7426265
144,Ran,Weinstein,053-2077581
145,Hila,Baum,055-8816912
146,Hila,Peretz,053-8048838
147,Noa,Ben-David,059-1327691
148,Penina,Rosen,057-1098919
149,Rivka,Blum,056-8030010
150,Kayla,Zamir,058-4700025
151,Devora,Weiss,054-8312114
152,Devora,Levi,056-6639317
153,Maya,Yosef,052-8841505
154,Lior,Pollak,058-1452421
155,Shira,Newman,059-1454696
156,Oren,Silver,056-3276659
157,Ayala,Rosenberg,050-5364698
158,Tamar,Gross,053-8628588
159,Zohar,Feldman,056-5668371
160,Hila,Horowitz,051-8890439
161,Moshe,Zamir,058-1873851
162,Miriam,Weiss,051-1675419
163,Avraham,Berkowitz,053-1341919
164,Ran,Berkowitz,052-8945036
165,Gal,Miller,053-8801975
166,Kobi,Ben-David,055-3815034
167,Gal,Ben-David,052-6218367
168,Ari,Newman,050-6233774
169,Penina,Ullman,056-7654757
170,Ben,Biton,059-5074336
171,Ari,Vardi,054-3030966
172,Orly,Mizrachi,055-9937982
173,Dana,Teller,055-2156902
174,Galit,Silver,055-1212267
175,Hila,Hershko,051-8273315
