id,firstname,lastname,phonenum
1,Amit,Oren,058-8436118
2,Shlomi,Shalom,052-4216081
3,Yosef,Harel,057-4311468
4,Oren,Sasson,055-3223010
5,Gal,Navon,054-9298485
6,Ido,Alon,050-7855559
7,Efrat,Levi,057-3420752
8,Ido,Barak,059-7339140
9,Liat,Friedman,055-8393108
10,Gal,Lavi,053-1961733
11,Shaked,Lavi,050-4913653
12,Gal,Azulay,057-9401974
13,Gal,Zohar,051-8436323
14,Sarit,Regev,056-8705055
15,Eden,Sasson,052-2011757
16,Amit,Levi,052-9531736
17,Shlomi,Golan,055-6401252
18,Talia,Sasson,057-3083784
19,Maya,Yosef,057-3152413
20,Dafna,Vardi,059-2700570
21,Yair,Peretz,056-9346746
22,Maya,Klein,051-2835693
23,Ariel,Golan,054-7159202
24,Oren,Barak,051-8964020
25,Omer,Alon,050-3620578
26,Michal,Katz,058-6576631
27,Hila,Eliav,058-9597244
28,Eitan,Weiss,052-6167552
29,Yosef,Zohar,058-4451702
30,Avi,Sasson,054-8023494
31,Hila,Cohen,054-6744236
32,Alon,Ben-David,051-6761305
33,Noga,Sasson,056-6537240
34,Or,Mendel,056-1312360
35,Yosef,Golan,052-5852896
36,Rotem,Azulay,052-5221652
37,Noga,Barak,058-8447455
38,Dafna,Friedman,053-6158046
39,Moran,Biton,055-7860157
40,Oren,Paz,053-9226334
41,Hila,Peretz,050-2019787
42,Ariel,Barak,054-4849305
43,Shlomi,Golan,059-9192899
44,Ariel,Peretz,053-8640059
45,Yosef,Peretz,059-4928203
46,Shani,Klein,055-4308421
47,David,Peretz,053-2835860
48,Alon,Sasson,054-4935808
49,Itay,Oren,058-8596252
50,Liat,Oren,051-8745088
51,Sarit,Mizrahi,053-9426485
52,Noga,Levi,053-1533722
53,Or,Regev,050-4941443
54,Liat,Mendel,056-8740048
55,Yael,Mendel,059-4348982
56,Nitzan,Azulay,056-7970248
57,Or,Mendel,054-7620148
58,Yonatan,Regev,057-8741263
59,Eden,Vardi,058-9631861
60,Michal,Yosef,053-3174072
61,Naama,Friedman,058-9376176
